#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CD163	SIGLEC1	9606.ENSP00000352071	9606.ENSP00000341141	0	0	0	0	0.307	0.126	0	0.797	0.866
CD163	FN1	9606.ENSP00000352071	9606.ENSP00000346839	0	0	0	0	0.104	0.276	0	0.434	0.601
CD163	GNLY	9606.ENSP00000352071	9606.ENSP00000436423	0	0	0	0	0.158	0	0	0.320	0.402
CD163	LAIR1	9606.ENSP00000352071	9606.ENSP00000375622	0	0	0	0	0.228	0.132	0	0.216	0.428
CD163	LILRB4	9606.ENSP00000352071	9606.ENSP00000375616	0	0	0	0	0.237	0.126	0	0.269	0.470
CD163	TNF	9606.ENSP00000352071	9606.ENSP00000398698	0	0	0	0	0.140	0	0	0.722	0.750
CD163	VSIG4	9606.ENSP00000352071	9606.ENSP00000363869	0	0	0	0	0.785	0	0	0.725	0.938
CD163	IL10	9606.ENSP00000352071	9606.ENSP00000412237	0	0	0	0	0.126	0	0.750	0.814	0.955
CD163	IL6	9606.ENSP00000352071	9606.ENSP00000385675	0	0	0	0	0.101	0	0.750	0.855	0.964
CD200	HGF	9606.ENSP00000420298	9606.ENSP00000222390	0	0	0	0	0.044	0	0	0.483	0.484
CD200	IL1B	9606.ENSP00000420298	9606.ENSP00000263341	0	0	0	0	0.042	0	0	0.628	0.628
CD200	KIT	9606.ENSP00000420298	9606.ENSP00000288135	0	0	0	0	0.132	0	0	0.357	0.418
CD200	LAIR1	9606.ENSP00000420298	9606.ENSP00000375622	0	0	0.283	0	0.060	0	0	0.480	0.618
CD200	IL6	9606.ENSP00000420298	9606.ENSP00000385675	0	0	0	0	0.056	0	0	0.679	0.684
CD200	TNF	9606.ENSP00000420298	9606.ENSP00000398698	0	0	0	0	0.042	0	0	0.511	0.511
CD200	IL10	9606.ENSP00000420298	9606.ENSP00000412237	0	0	0	0	0.042	0	0	0.550	0.550
CD200	TNFRSF9	9606.ENSP00000420298	9606.ENSP00000478699	0	0	0	0	0.057	0	0	0.393	0.403
CD59	IL1B	9606.ENSP00000498879	9606.ENSP00000263341	0	0	0	0	0.068	0	0	0.445	0.461
CD59	VSIG4	9606.ENSP00000498879	9606.ENSP00000363869	0	0	0	0	0.047	0	0	0.505	0.508
CD59	IL6	9606.ENSP00000498879	9606.ENSP00000385675	0	0	0	0	0.062	0	0	0.446	0.458
CD59	TNF	9606.ENSP00000498879	9606.ENSP00000398698	0	0	0	0	0	0	0	0.446	0.446
CHRDL1	FSTL3	9606.ENSP00000361112	9606.ENSP00000166139	0	0	0	0	0	0	0	0.446	0.446
CLMP	LEPR	9606.ENSP00000405577	9606.ENSP00000330393	0	0	0	0	0	0	0	0.424	0.424
COL6A3	THBS4	9606.ENSP00000295550	9606.ENSP00000339730	0	0	0	0	0.070	0.099	0.400	0.265	0.581
COL6A3	HSPG2	9606.ENSP00000295550	9606.ENSP00000363827	0	0	0	0	0.100	0.085	0	0.582	0.625
COL6A3	FN1	9606.ENSP00000295550	9606.ENSP00000346839	0	0	0	0	0.185	0.050	0	0.686	0.736
COMP	HSPG2	9606.ENSP00000222271	9606.ENSP00000363827	0	0	0	0	0.080	0.045	0	0.411	0.438
COMP	TNF	9606.ENSP00000222271	9606.ENSP00000398698	0	0	0	0	0.060	0.071	0	0.419	0.448
COMP	IL6	9606.ENSP00000222271	9606.ENSP00000385675	0	0	0	0	0.055	0	0	0.448	0.456
COMP	IL1B	9606.ENSP00000222271	9606.ENSP00000263341	0	0	0	0	0.057	0	0	0.447	0.456
COMP	THBS4	9606.ENSP00000222271	9606.ENSP00000339730	0	0	0.054	0.973	0.328	0	0	0.792	0.856
COMP	FN1	9606.ENSP00000222271	9606.ENSP00000346839	0	0	0	0	0.075	0	0	0.957	0.958
DPP6	FN1	9606.ENSP00000367001	9606.ENSP00000346839	0	0	0	0	0.048	0	0	0.456	0.459
DPP6	MOG	9606.ENSP00000367001	9606.ENSP00000366091	0	0	0	0	0.139	0	0	0.529	0.577
DPT	FN1	9606.ENSP00000356791	9606.ENSP00000346839	0	0	0	0	0.067	0	0	0.587	0.598
DPT	MFAP5	9606.ENSP00000356791	9606.ENSP00000352455	0	0	0	0	0.302	0	0	0.212	0.427
EFEMP1	FN1	9606.ENSP00000378058	9606.ENSP00000346839	0	0	0	0	0.133	0	0	0.586	0.625
EFEMP1	MFAP5	9606.ENSP00000378058	9606.ENSP00000352455	0	0	0	0	0.139	0	0.500	0.240	0.644
EFNA4	EPHA1	9606.ENSP00000414378	9606.ENSP00000275815	0	0	0	0	0.100	0.098	0.650	0.995	0.998
EFNA4	KIT	9606.ENSP00000414378	9606.ENSP00000288135	0	0	0	0	0	0	0.650	0.188	0.703
EFNA4	MET	9606.ENSP00000414378	9606.ENSP00000317272	0	0	0	0	0.124	0.098	0.650	0.175	0.741
EPHA1	SEMA3F	9606.ENSP00000275815	9606.ENSP00000002829	0	0	0	0	0.049	0.054	0	0.445	0.457
EPHA1	IL6	9606.ENSP00000275815	9606.ENSP00000385675	0	0	0	0	0.105	0	0	0.487	0.522
EPHA1	FN1	9606.ENSP00000275815	9606.ENSP00000346839	0	0	0	0	0.052	0	0	0.745	0.748
FABP4	LEPR	9606.ENSP00000256104	9606.ENSP00000330393	0	0	0	0	0.055	0	0	0.419	0.427
FABP4	IL1B	9606.ENSP00000256104	9606.ENSP00000263341	0	0	0	0	0.055	0	0	0.477	0.484
FABP4	TNF	9606.ENSP00000256104	9606.ENSP00000398698	0	0	0	0	0.060	0	0	0.507	0.517
FABP4	IL6	9606.ENSP00000256104	9606.ENSP00000385675	0	0	0	0	0.058	0	0	0.577	0.584
FABP4	LEP	9606.ENSP00000256104	9606.ENSP00000312652	0	0	0	0	0.208	0	0	0.763	0.804
FABP4	PLIN1	9606.ENSP00000256104	9606.ENSP00000300055	0	0	0	0	0.409	0	0.500	0.774	0.927
FASLG	TNFRSF1A	9606.ENSP00000356694	9606.ENSP00000162749	0	0	0	0	0	0.617	0	0.997	0.998
FASLG	HGF	9606.ENSP00000356694	9606.ENSP00000222390	0	0	0	0	0	0	0	0.425	0.425
FASLG	IL1B	9606.ENSP00000356694	9606.ENSP00000263341	0	0	0	0	0.049	0	0	0.799	0.800
FASLG	TNFRSF10B	9606.ENSP00000356694	9606.ENSP00000276431	0	0	0	0	0	0.448	0.500	0.997	0.999
FASLG	FN1	9606.ENSP00000356694	9606.ENSP00000346839	0	0	0	0	0	0.601	0	0.781	0.909
FASLG	IL18R1	9606.ENSP00000356694	9606.ENSP00000387211	0	0	0	0	0.172	0	0	0.323	0.415
FASLG	TNFRSF9	9606.ENSP00000356694	9606.ENSP00000478699	0	0	0	0	0.127	0	0	0.571	0.609
FASLG	IL6	9606.ENSP00000356694	9606.ENSP00000385675	0	0	0	0	0.044	0	0	0.697	0.697
FASLG	IL10	9606.ENSP00000356694	9606.ENSP00000412237	0	0	0	0	0.129	0	0	0.873	0.885
FASLG	GNLY	9606.ENSP00000356694	9606.ENSP00000436423	0	0	0	0	0.456	0	0	0.860	0.921
FASLG	TNF	9606.ENSP00000356694	9606.ENSP00000398698	0	0	0	0.663	0.085	0.053	0	0.983	0.984
FCAR	IL6	9606.ENSP00000347714	9606.ENSP00000385675	0	0	0	0	0.120	0	0	0.352	0.405
FCAR	TNF	9606.ENSP00000347714	9606.ENSP00000398698	0	0	0	0	0.132	0	0	0.367	0.427
FCAR	IL10	9606.ENSP00000347714	9606.ENSP00000412237	0	0	0	0	0.162	0	0	0.348	0.430
FCAR	LAIR1	9606.ENSP00000347714	9606.ENSP00000375622	0	0	0	0.618	0.153	0	0	0.417	0.486
FGF19	HGF	9606.ENSP00000294312	9606.ENSP00000222390	0	0	0	0	0.140	0	0	0.528	0.576
FGF19	KIT	9606.ENSP00000294312	9606.ENSP00000288135	0	0	0	0	0	0.168	0.650	0.269	0.768
FGF19	LEP	9606.ENSP00000294312	9606.ENSP00000312652	0	0	0	0	0	0	0	0.400	0.400
FGF19	INHBC	9606.ENSP00000294312	9606.ENSP00000308716	0	0	0	0	0.189	0	0	0.318	0.423
FGF19	IL6	9606.ENSP00000294312	9606.ENSP00000385675	0	0	0	0	0.058	0	0	0.426	0.437
FGF19	MET	9606.ENSP00000294312	9606.ENSP00000317272	0	0	0	0	0.067	0	0.650	0.284	0.746
FGFBP1	HSPG2	9606.ENSP00000371770	9606.ENSP00000363827	0	0	0	0	0	0.292	0	0.844	0.884
FN1	OSM	9606.ENSP00000346839	9606.ENSP00000215781	0	0	0	0	0	0	0	0.621	0.621
FN1	OXT	9606.ENSP00000346839	9606.ENSP00000217386	0	0	0	0	0.055	0	0	0.473	0.480
FN1	PLAT	9606.ENSP00000346839	9606.ENSP00000220809	0	0	0	0	0.149	0.292	0	0.797	0.867
FN1	HGF	9606.ENSP00000346839	9606.ENSP00000222390	0	0	0	0	0.055	0.394	0	0.947	0.967
FN1	PI3	9606.ENSP00000346839	9606.ENSP00000243924	0	0	0	0	0	0	0	0.591	0.591
FN1	MSTN	9606.ENSP00000346839	9606.ENSP00000260950	0	0	0	0	0	0	0	0.557	0.557
FN1	IL1B	9606.ENSP00000346839	9606.ENSP00000263341	0	0	0	0	0.055	0.051	0	0.866	0.869
FN1	KIT	9606.ENSP00000346839	9606.ENSP00000288135	0	0	0	0	0	0	0	0.776	0.776
FN1	LTBP3	9606.ENSP00000346839	9606.ENSP00000301873	0	0	0	0	0.063	0	0	0.608	0.616
FN1	VASN	9606.ENSP00000346839	9606.ENSP00000306864	0	0	0	0	0.123	0	0	0.461	0.507
FN1	LEP	9606.ENSP00000346839	9606.ENSP00000312652	0	0	0	0	0	0	0	0.446	0.446
FN1	MET	9606.ENSP00000346839	9606.ENSP00000317272	0	0	0	0	0.093	0	0	0.730	0.745
FN1	THBS4	9606.ENSP00000346839	9606.ENSP00000339730	0	0	0	0	0	0	0	0.605	0.605
FN1	VWA1	9606.ENSP00000346839	9606.ENSP00000417185	0	0	0	0	0.072	0.050	0	0.456	0.479
FN1	GNLY	9606.ENSP00000346839	9606.ENSP00000436423	0	0	0	0	0	0	0	0.513	0.513
FN1	LAIR1	9606.ENSP00000346839	9606.ENSP00000375622	0	0	0	0	0.058	0	0	0.519	0.528
FN1	IL10	9606.ENSP00000346839	9606.ENSP00000412237	0	0	0	0	0	0	0	0.752	0.752
FN1	IL6	9606.ENSP00000346839	9606.ENSP00000385675	0	0	0	0	0.087	0	0	0.895	0.900
FN1	PGF	9606.ENSP00000346839	9606.ENSP00000451040	0	0	0	0	0.061	0	0	0.942	0.943
FN1	TNF	9606.ENSP00000346839	9606.ENSP00000398698	0	0	0	0	0.057	0	0	0.970	0.970
FN1	HSPG2	9606.ENSP00000346839	9606.ENSP00000363827	0	0	0	0	0.140	0.316	0	0.995	0.996
FSTL3	LTBP3	9606.ENSP00000166139	9606.ENSP00000301873	0	0	0	0	0.072	0	0	0.404	0.423
FSTL3	WFIKKN2	9606.ENSP00000166139	9606.ENSP00000311184	0	0	0	0	0	0	0	0.624	0.624
FSTL3	MSTN	9606.ENSP00000166139	9606.ENSP00000260950	0	0	0	0	0	0.931	0	0.988	0.999
GNLY	MFAP5	9606.ENSP00000436423	9606.ENSP00000352455	0	0	0	0	0.055	0	0	0.449	0.457
GNLY	IL6	9606.ENSP00000436423	9606.ENSP00000385675	0	0	0	0	0.053	0	0	0.400	0.407
GNLY	TNF	9606.ENSP00000436423	9606.ENSP00000398698	0	0	0	0	0.085	0	0	0.540	0.562
GNLY	IL10	9606.ENSP00000436423	9606.ENSP00000412237	0	0	0	0	0.117	0	0	0.463	0.505
HGF	TNFRSF1A	9606.ENSP00000222390	9606.ENSP00000162749	0	0	0	0	0.044	0	0	0.578	0.579
HGF	OSM	9606.ENSP00000222390	9606.ENSP00000215781	0	0	0	0	0.074	0	0.400	0.774	0.864
HGF	IL1RN	9606.ENSP00000222390	9606.ENSP00000259206	0	0	0	0	0.072	0	0	0.418	0.436
HGF	LEP	9606.ENSP00000222390	9606.ENSP00000312652	0	0	0	0	0	0	0	0.507	0.507
HGF	PI3	9606.ENSP00000222390	9606.ENSP00000243924	0	0	0	0	0	0	0	0.511	0.511
HGF	TNF	9606.ENSP00000222390	9606.ENSP00000398698	0	0	0	0	0	0.066	0	0.671	0.679
HGF	IL1B	9606.ENSP00000222390	9606.ENSP00000263341	0	0	0	0	0.083	0	0	0.670	0.685
HGF	HSPG2	9606.ENSP00000222390	9606.ENSP00000363827	0	0	0	0	0	0	0	0.746	0.746
HGF	PGF	9606.ENSP00000222390	9606.ENSP00000451040	0	0	0	0	0	0	0	0.800	0.800
HGF	IL10	9606.ENSP00000222390	9606.ENSP00000412237	0	0	0	0	0.056	0	0.400	0.697	0.813
HGF	IL6	9606.ENSP00000222390	9606.ENSP00000385675	0	0	0	0	0.059	0	0.400	0.773	0.860
HGF	KIT	9606.ENSP00000222390	9606.ENSP00000288135	0	0	0	0	0.059	0	0.650	0.792	0.925
HGF	MET	9606.ENSP00000222390	9606.ENSP00000317272	0	0	0	0	0.042	0.989	0.900	0.999	0.999
HS6ST1	HSPG2	9606.ENSP00000259241	9606.ENSP00000363827	0	0	0	0	0.047	0	0.400	0.427	0.643
HSPG2	PLAT	9606.ENSP00000363827	9606.ENSP00000220809	0	0	0	0	0.108	0	0	0.542	0.574
HSPG2	MSTN	9606.ENSP00000363827	9606.ENSP00000260950	0	0	0	0	0	0	0	0.849	0.849
HSPG2	LTBP3	9606.ENSP00000363827	9606.ENSP00000301873	0	0	0	0	0.178	0.045	0	0.601	0.660
HSPG2	IL10	9606.ENSP00000363827	9606.ENSP00000412237	0	0	0	0	0	0	0	0.478	0.478
HSPG2	VWA1	9606.ENSP00000363827	9606.ENSP00000417185	0	0	0	0	0.128	0.046	0	0.568	0.609
ICOSLG	TNFRSF1A	9606.ENSP00000339477	9606.ENSP00000162749	0	0	0	0	0	0	0	0.509	0.509
ICOSLG	TNF	9606.ENSP00000339477	9606.ENSP00000398698	0	0	0	0	0.073	0	0	0.488	0.506
ICOSLG	IL6	9606.ENSP00000339477	9606.ENSP00000385675	0	0	0.269	0	0.057	0	0	0.512	0.634
ICOSLG	IL10	9606.ENSP00000339477	9606.ENSP00000412237	0	0	0	0	0.048	0	0	0.826	0.827
ICOSLG	TNFRSF9	9606.ENSP00000339477	9606.ENSP00000478699	0	0	0	0	0.092	0	0	0.925	0.929
IFNLR1	OSM	9606.ENSP00000327824	9606.ENSP00000215781	0	0	0	0	0	0	0.650	0.101	0.671
IFNLR1	LEP	9606.ENSP00000327824	9606.ENSP00000312652	0	0	0	0	0	0	0.650	0.057	0.655
IFNLR1	TNF	9606.ENSP00000327824	9606.ENSP00000398698	0	0	0	0	0.059	0	0	0.488	0.498
IFNLR1	IL6	9606.ENSP00000327824	9606.ENSP00000385675	0	0	0	0	0	0	0.650	0.574	0.844
IFNLR1	IL19	9606.ENSP00000327824	9606.ENSP00000499459	0	0	0	0	0	0	0.650	0.595	0.852
IFNLR1	IL10	9606.ENSP00000327824	9606.ENSP00000412237	0	0	0	0	0.066	0	0.650	0.798	0.928
IL10	TNFRSF1A	9606.ENSP00000412237	9606.ENSP00000162749	0	0	0	0	0	0	0.750	0.879	0.968
IL10	OSM	9606.ENSP00000412237	9606.ENSP00000215781	0	0	0	0	0.081	0	0.400	0.507	0.704
IL10	PLAT	9606.ENSP00000412237	9606.ENSP00000220809	0	0	0	0	0	0	0	0.489	0.489
IL10	IL1RN	9606.ENSP00000412237	9606.ENSP00000259206	0	0	0	0	0.072	0	0.400	0.874	0.923
IL10	IL1B	9606.ENSP00000412237	9606.ENSP00000263341	0	0	0	0	0.409	0	0.400	0.978	0.991
IL10	KIT	9606.ENSP00000412237	9606.ENSP00000288135	0	0	0	0	0.051	0	0	0.536	0.541
IL10	LEP	9606.ENSP00000412237	9606.ENSP00000312652	0	0	0	0	0.083	0	0	0.798	0.806
IL10	LEPR	9606.ENSP00000412237	9606.ENSP00000330393	0	0	0	0	0.087	0	0.650	0.379	0.784
IL10	SIGLEC1	9606.ENSP00000412237	9606.ENSP00000341141	0	0	0	0	0.123	0	0	0.515	0.556
IL10	MOG	9606.ENSP00000412237	9606.ENSP00000366091	0	0	0	0	0	0	0	0.772	0.772
IL10	LILRB4	9606.ENSP00000412237	9606.ENSP00000375616	0	0	0	0	0.138	0	0	0.645	0.681
IL10	IL6	9606.ENSP00000412237	9606.ENSP00000385675	0	0	0	0	0.130	0	0.800	0.988	0.997
IL10	IL18R1	9606.ENSP00000412237	9606.ENSP00000387211	0	0	0	0	0.122	0	0	0.478	0.522
IL10	TNF	9606.ENSP00000412237	9606.ENSP00000398698	0	0	0	0	0.234	0	0.400	0.984	0.992
IL10	PGF	9606.ENSP00000412237	9606.ENSP00000451040	0	0	0	0	0	0	0	0.507	0.507
IL10	TNFRSF9	9606.ENSP00000412237	9606.ENSP00000478699	0	0	0	0	0.084	0	0	0.620	0.637
IL10	IL19	9606.ENSP00000412237	9606.ENSP00000499459	0	0	0	0	0.068	0	0	0.869	0.872
IL18R1	TNFRSF1A	9606.ENSP00000387211	9606.ENSP00000162749	0	0	0	0	0.061	0.194	0	0.321	0.441
IL18R1	IL1RN	9606.ENSP00000387211	9606.ENSP00000259206	0	0	0	0	0.090	0	0	0.635	0.653
IL18R1	IL1B	9606.ENSP00000387211	9606.ENSP00000263341	0	0	0	0	0.096	0	0	0.833	0.842
IL18R1	IL6	9606.ENSP00000387211	9606.ENSP00000385675	0	0	0	0	0.099	0	0	0.593	0.617
IL18R1	TNFRSF9	9606.ENSP00000387211	9606.ENSP00000478699	0	0	0	0	0.080	0	0	0.459	0.481
IL18R1	TNF	9606.ENSP00000387211	9606.ENSP00000398698	0	0	0	0	0.106	0	0	0.480	0.515
IL19	IL1B	9606.ENSP00000499459	9606.ENSP00000263341	0	0	0	0	0.139	0	0	0.543	0.590
IL19	LEPR	9606.ENSP00000499459	9606.ENSP00000330393	0	0	0	0	0	0	0.650	0	0.650
IL19	IL6	9606.ENSP00000499459	9606.ENSP00000385675	0	0	0	0	0.083	0	0	0.571	0.589
IL19	TNF	9606.ENSP00000499459	9606.ENSP00000398698	0	0	0	0	0.062	0	0	0.507	0.517
IL1B	TNFRSF1A	9606.ENSP00000263341	9606.ENSP00000162749	0	0	0	0	0.056	0	0	0.997	0.997
IL1B	OSM	9606.ENSP00000263341	9606.ENSP00000215781	0	0	0	0	0.368	0	0	0.620	0.749
IL1B	OXT	9606.ENSP00000263341	9606.ENSP00000217386	0	0	0	0	0.063	0	0	0.449	0.461
IL1B	PLAT	9606.ENSP00000263341	9606.ENSP00000220809	0	0	0	0	0.105	0	0	0.597	0.624
IL1B	PI3	9606.ENSP00000263341	9606.ENSP00000243924	0	0	0	0	0.202	0	0	0.446	0.539
IL1B	IL1RN	9606.ENSP00000263341	9606.ENSP00000259206	0	0	0	0.651	0.377	0	0	0.952	0.968
IL1B	MSTN	9606.ENSP00000263341	9606.ENSP00000260950	0	0	0	0	0.047	0	0	0.437	0.440
IL1B	MET	9606.ENSP00000263341	9606.ENSP00000317272	0	0	0	0	0.069	0	0	0.412	0.429
IL1B	TNFRSF10B	9606.ENSP00000263341	9606.ENSP00000276431	0	0	0	0	0.074	0	0	0.445	0.464
IL1B	TNFRSF9	9606.ENSP00000263341	9606.ENSP00000478699	0	0	0	0	0.105	0	0	0.447	0.483
IL1B	NPY	9606.ENSP00000263341	9606.ENSP00000384364	0	0	0	0	0	0	0	0.520	0.520
IL1B	SIGLEC1	9606.ENSP00000263341	9606.ENSP00000341141	0	0	0	0	0.147	0	0	0.467	0.525
IL1B	LEPR	9606.ENSP00000263341	9606.ENSP00000330393	0	0	0	0	0	0	0	0.529	0.529
IL1B	PGF	9606.ENSP00000263341	9606.ENSP00000451040	0	0	0	0	0	0	0	0.543	0.543
IL1B	MOG	9606.ENSP00000263341	9606.ENSP00000366091	0	0	0	0	0	0	0	0.574	0.574
IL1B	KIT	9606.ENSP00000263341	9606.ENSP00000288135	0	0	0	0	0.069	0	0	0.573	0.585
IL1B	UMOD	9606.ENSP00000263341	9606.ENSP00000379438	0	0	0	0	0.057	0	0	0.848	0.850
IL1B	LEP	9606.ENSP00000263341	9606.ENSP00000312652	0	0	0	0	0	0	0	0.854	0.854
IL1B	IL6	9606.ENSP00000263341	9606.ENSP00000385675	0	0	0	0	0.515	0	0.400	0.989	0.996
IL1B	TNF	9606.ENSP00000263341	9606.ENSP00000398698	0	0	0	0	0.616	0	0.400	0.993	0.998
IL1RN	TNFRSF1A	9606.ENSP00000259206	9606.ENSP00000162749	0	0	0	0	0.124	0	0	0.554	0.593
IL1RN	LEP	9606.ENSP00000259206	9606.ENSP00000312652	0	0	0	0	0.044	0	0	0.417	0.419
IL1RN	TNF	9606.ENSP00000259206	9606.ENSP00000398698	0	0	0	0	0.204	0	0	0.813	0.844
IL1RN	IL6	9606.ENSP00000259206	9606.ENSP00000385675	0	0	0	0	0.170	0	0	0.913	0.925
IL6	TNFRSF1A	9606.ENSP00000385675	9606.ENSP00000162749	0	0	0	0	0.047	0	0	0.997	0.997
IL6	OSM	9606.ENSP00000385675	9606.ENSP00000215781	0	0	0	0	0.227	0.287	0.400	0.903	0.963
IL6	OXT	9606.ENSP00000385675	9606.ENSP00000217386	0	0	0	0	0	0	0	0.497	0.497
IL6	PLAT	9606.ENSP00000385675	9606.ENSP00000220809	0	0	0	0	0.097	0	0	0.720	0.737
IL6	PI3	9606.ENSP00000385675	9606.ENSP00000243924	0	0	0	0	0.075	0	0	0.447	0.466
IL6	MSTN	9606.ENSP00000385675	9606.ENSP00000260950	0	0	0	0	0.055	0	0	0.596	0.602
IL6	TNFRSF10B	9606.ENSP00000385675	9606.ENSP00000276431	0	0	0	0	0.057	0	0	0.471	0.480
IL6	KIT	9606.ENSP00000385675	9606.ENSP00000288135	0	0	0	0	0.068	0	0	0.774	0.781
IL6	PLIN1	9606.ENSP00000385675	9606.ENSP00000300055	0	0	0	0	0.090	0	0	0.432	0.461
IL6	LEP	9606.ENSP00000385675	9606.ENSP00000312652	0	0	0	0	0	0	0	0.919	0.919
IL6	MET	9606.ENSP00000385675	9606.ENSP00000317272	0	0	0	0	0.067	0	0	0.852	0.856
IL6	LEPR	9606.ENSP00000385675	9606.ENSP00000330393	0	0	0	0	0	0	0.650	0.733	0.902
IL6	SIGLEC1	9606.ENSP00000385675	9606.ENSP00000341141	0	0	0	0	0.105	0	0	0.494	0.528
IL6	MOG	9606.ENSP00000385675	9606.ENSP00000366091	0	0	0	0	0.045	0	0	0.627	0.628
IL6	NPY	9606.ENSP00000385675	9606.ENSP00000384364	0	0	0	0	0.042	0	0	0.710	0.710
IL6	PGF	9606.ENSP00000385675	9606.ENSP00000451040	0	0	0	0	0.043	0	0	0.595	0.595
IL6	TNFRSF9	9606.ENSP00000385675	9606.ENSP00000478699	0	0	0	0	0.130	0	0	0.579	0.618
IL6	TNF	9606.ENSP00000385675	9606.ENSP00000398698	0	0	0	0	0.261	0	0.400	0.989	0.994
KIT	MET	9606.ENSP00000288135	9606.ENSP00000317272	0	0	0	0.580	0	0.092	0	0.572	0.594
KIT	TNF	9606.ENSP00000288135	9606.ENSP00000398698	0	0	0	0	0.076	0	0	0.593	0.608
KIT	PGF	9606.ENSP00000288135	9606.ENSP00000451040	0	0	0	0	0	0	0.650	0.447	0.798
LAIR1	LILRB4	9606.ENSP00000375622	9606.ENSP00000375616	0	0	0	0.662	0.267	0.120	0	0.305	0.513
LEP	OXT	9606.ENSP00000312652	9606.ENSP00000217386	0	0	0	0	0.042	0	0	0.635	0.636
LEP	PLAT	9606.ENSP00000312652	9606.ENSP00000220809	0	0	0	0	0	0	0	0.406	0.406
LEP	MSTN	9606.ENSP00000312652	9606.ENSP00000260950	0	0	0	0	0	0	0	0.723	0.723
