#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005201	Extracellular matrix structural constituent	7	131	1.18	0.98	0.00021	9606.ENSP00000222271,9606.ENSP00000295550,9606.ENSP00000346839,9606.ENSP00000352455,9606.ENSP00000356791,9606.ENSP00000363827,9606.ENSP00000379438	COMP,COL6A3,FN1,MFAP5,DPT,HSPG2,UMOD
GO:0070851	Growth factor receptor binding	7	135	1.17	0.96	0.00024	9606.ENSP00000259206,9606.ENSP00000263341,9606.ENSP00000294312,9606.ENSP00000378058,9606.ENSP00000385675,9606.ENSP00000412237,9606.ENSP00000451040	IL1RN,IL1B,FGF19,EFEMP1,IL6,IL10,PGF
GO:0050431	Transforming growth factor beta binding	4	24	1.68	0.94	0.00092	9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000311184,9606.ENSP00000361112	LTBP3,VASN,WFIKKN2,CHRDL1
GO:0004714	Transmembrane receptor protein tyrosine kinase activity	5	63	1.36	0.85	0.0012	9606.ENSP00000275815,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000378058,9606.ENSP00000414378	EPHA1,KIT,MET,EFEMP1,EFNA4
GO:0019838	Growth factor binding	6	127	1.13	0.75	0.0019	9606.ENSP00000259206,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000311184,9606.ENSP00000361112,9606.ENSP00000371770	IL1RN,LTBP3,VASN,WFIKKN2,CHRDL1,FGFBP1
GO:0005178	Integrin binding	6	159	1.03	0.61	0.0059	9606.ENSP00000222271,9606.ENSP00000259526,9606.ENSP00000263341,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000363827	COMP,CCN3,IL1B,THBS4,FN1,HSPG2
GO:0005179	Hormone activity	5	129	1.04	0.46	0.0248	9606.ENSP00000217386,9606.ENSP00000308716,9606.ENSP00000312652,9606.ENSP00000384364,9606.ENSP00000436607	OXT,INHBC,LEP,NPY,ADM
GO:0050839	Cell adhesion molecule binding	9	560	0.66	0.37	0.0348	9606.ENSP00000222271,9606.ENSP00000259526,9606.ENSP00000263341,9606.ENSP00000306864,9606.ENSP00000333769,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000363827,9606.ENSP00000420298	COMP,CCN3,IL1B,VASN,BSG,THBS4,FN1,HSPG2,CD200
GO:0038023	Signaling receptor activity	15	1489	0.46	0.32	0.0373	9606.ENSP00000162749,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000347714,9606.ENSP00000352288,9606.ENSP00000378058,9606.ENSP00000384364,9606.ENSP00000387211,9606.ENSP00000414378,9606.ENSP00000478699	TNFRSF1A,EPHA1,TNFRSF10B,KIT,MET,IFNLR1,LEPR,BSG,FCAR,PLXNB2,EFEMP1,NPY,IL18R1,EFNA4,TNFRSF9
GO:0001968	Fibronectin binding	3	30	1.46	0.44	0.0391	9606.ENSP00000166139,9606.ENSP00000275815,9606.ENSP00000375616	FSTL3,EPHA1,LILRB4
